n,q,name,space,sum,time
300000,2000000,FiBlPre512,2419708,9826613343769808853,2.56706
300000,2000000,FiBlPre1024,2408836,9826613343769808853,2.56573
300000,2000000,FiBlPre2048,2403988,9826613343769808853,3.02275
300000,2000000,FiBlPre4096,2401840,9826613343769808853,5.23523
300000,2000000,FiBlPre8192,2400884,9826613343769808853,13.9632
300000,2000000,FiBlPre16384,2400476,9826613343769808853,48.2615
300000,2000000,FiBlPre32768,2400292,9826613343769808853,185.132
300000,2000000,FiBlPre65536,2400196,9826613343769808853,683.676
1000000,2000000,FiBlPre2,43903464,10638594087832823758,12.9417
1000000,2000000,FiBlPre4,24952012,10638594087832823758,9.0529
1000000,2000000,FiBlPre8,15976272,10638594087832823758,7.43023
1000000,2000000,FiBlPre16,11738388,10638594087832823758,6.33967
1000000,2000000,FiBlPre32,9744432,10638594087832823758,5.90058
1000000,2000000,FiBlPre64,8809940,10638594087832823758,5.16287
1000000,2000000,FiBlPre128,8373956,10638594087832823758,4.55479
1000000,2000000,FiBlPre256,8171572,10638594087832823758,4.06523
1000000,2000000,FiBlPre512,8078176,10638594087832823758,3.75419
1000000,2000000,FiBlPre1024,8035348,10638594087832823758,3.66006
1000000,2000000,FiBlPre2048,8015892,10638594087832823758,3.88163
1000000,2000000,FiBlPre4096,8007124,10638594087832823758,4.66896
1000000,2000000,FiBlPre8192,8003212,10638594087832823758,7.73183
1000000,2000000,FiBlPre16384,8001484,10638594087832823758,18.7772
1000000,2000000,FiBlPre32768,8000716,10638594087832823758,59.5739
1000000,2000000,FiBlPre65536,8000416,10638594087832823758,224.768
3000000,2000000,FiBlPre2,141612064,9753184260665447441,22.5898
3000000,2000000,FiBlPre4,79806340,9753184260665447441,21.8694
3000000,2000000,FiBlPre8,50403464,9753184260665447441,20.8741
3000000,2000000,FiBlPre16,36452012,9753184260665447441,20.589
3000000,2000000,FiBlPre32,29851272,9753184260665447441,19.3204
3000000,2000000,FiBlPre64,26738388,9753184260665447441,17.276
3000000,2000000,FiBlPre128,25275712,9753184260665447441,15.1173
3000000,2000000,FiBlPre256,24591204,9753184260665447441,13.7216
3000000,2000000,FiBlPre512,24272400,9753184260665447441,12.5531
3000000,2000000,FiBlPre1024,24124676,9753184260665447441,11.2336
3000000,2000000,FiBlPre2048,24056660,9753184260665447441,10.7035
3000000,2000000,FiBlPre4096,24025588,9753184260665447441,10.6909
3000000,2000000,FiBlPre8192,24011500,9753184260665447441,12.2915
3000000,2000000,FiBlPre16384,24005172,9753184260665447441,17.5378
3000000,2000000,FiBlPre32768,24002344,9753184260665447441,34.8295
3000000,2000000,FiBlPre65536,24001100,9753184260665447441,92.4265
